t_index  term         df      
2445     crest        2       
2446     crestfallen  1       
2447     crevic       1       
2448     crew         133     
2449     crewman      4       
2450     crewmemb     5       
2451     crewmen      10      
2452     cri          38      
2453     crime        83      
2454     crimin       105     
2455     criminolog   1       
2456     crippl       40      
2457     crise        14      
2458     crisi        54      
2459     crisp        3       
2460     cristo       1       
2461     criteria     2       
2462     critic       121     
2463     croat        3       
2464     croatia      14      
2465     croatian     3       
2466     croifl       1       
2467     croni        18      
2468     crook        7       
2469     crop         3       
2470     crosbi       5       
2471     cross        47      
2472     crosscourt   5       
2473     crossfir     1       
2474     crouch       12      
2475     crous        1       
2476     crow         1       
2477     crowbar      6       
2478     crowd        106     
2479     crowley      10      
2480     crown        8       
2481     crucial      21      
2482     crucifi      1       
2483     crude        1       
2484     crue         1       
2485     cruel        3       
2486     cruelti      3       
2487     cruis        16      
2488     cruiser      3       
2489     cruman       1       
2490     crumbl       21      
2491     crumpl       3       
2492     crusad       4       
2493     crush        22      
2494     crust        1       
2495     crutch       6       
2496     cruz         1       
2497     crwrc        1       
2498     cryptic      1       
2499     crystal      2       
2500     cuba         9       
2501     cuban        3       
2502     cue          1       
2503     cuellar      6       
2504     cuff         1       
2505     cul          1       
2506     culmin       8       
2507     culpabl      1       
2508     culprit      9       
2509     cultiv       2       
2510     cultur       12      
2511     cummin       2       
2512     cun          5       
2513     cuomo        3       
2514     cup          9       
2515     cupboard     1       
2516     curb         4       
2517     curdl        1       
2518     cure         1       
2519     curfew       10      
2520     curios       2       
2521     curiou       9       
2522     currenc      2       
2523     current      52      
2524     curriculum   4       
2525     curs         4       
2526     cursori      1       
2527     curt         2       
2528     curtail      4       
2529     curtain      3       
2530     curti        3       
2531     curv         3       
2532     cush         2       
2533     cusp         1       
2534     cussin       2       
2535     custodi      21      
2536     custodian    3       
2537     custom       9       
2538     customari    2       
2539     cut          115     
2540     cutback      1       
2541     cutigua      1       
2542     cutter       8       
2543     cybercaf     1       
2544     cybernet     1       
2545     cycl         3       
2546     cyclon       1       
2547     cylind       1       
2548     cylindr      1       
2549     cynic        9       
2550     cypru        1       
2551     cyr          1       
2552     czarist      2       
2553     czech        14      
2554     czechoslovakian 1       
2555     da           3       
2556     dad          11      
2557     dada         1       
2558     dade         2       
2559     dadiv        1       
2560     dae          5       
2561     daewoo       5       
2562     dagestan     3       
2563     dagger       3       
2564     daili        29      
2565     daja         2       
2566     dakota       19      
2567     dakotan      1       
2568     dakouri      1       
2569     dalal        1       
2570     dale         2       
2571     daley        7       
2572     dali         1       
2573     dalla        37      
2574     dalworthington 1       
2575     dam          1       
2576     damag        156     
2577     damascu      2       
2578     dame         1       
2579     damir        3       
2580     dammaj       1       
2581     damor        1       
2582     damp         1       
2583     dampen       2       
2584     dan          18      
2585     dana         2       
2586     danah        4       
2587     danburi      1       
2588     danc         11      
2589     dancer       3       
2590     dandelion    1       
2591     dane         1       
2592     danewich     1       
2593     danforth     3       
2594     danger       103     
2595     dangl        2       
2596     daniel       19      
2597     daniela      6       
2598     daniil       2       
2599     danni        1       
2600     danzig       4       
2601     daoud        1       
2602     dapist       1       
2603     dar          5       
2604     darden       1       
2605     dare         15      
2606     daren        7       
2607     dark         29      
2608     darken       3       
2609     darl         1       
2610     darn         1       
2611     darrel       2       
2612     dart         1       
2613     darwinian    1       
2614     daschl       11      
2615     dash         4       
2616     dashboard    1       
2617     data         4       
2618     date         32      
2619     datelin      7       
2620     daughter     55      
2621     daunt        6       
2622     dave         18      
2623     davenport    44      
2624     davi         4       
2625     david        59      
2626     davidian     2       
2627     dawn         24      
2628     day          476     
2629     daybreak     3       
2630     dayeb        1       
2631     daylight     4       
2632     dayton       9       
2633     daytona      1       
2634     daze         4       
2635     dazesurvivor 1       
2636     dc           7       
2637     dd           1       
2638     ddg          7       
2639     de           20      
2640     dea          1       
2641     deactiv      2       
2642     dead         165     
2643     deadli       53      
2644     deadliest    16      
2645     deadlin      13      
2646     deadlock     3       
2647     deaf         1       
2648     deal         98      
2649     dealt        6       
2650     dean         5       
2651     dear         5       
2652     dearborn     1       
2653     dearli       3       
2654     death        211     
2655     debar        1       
2656     debat        65      
2657     debbi        5       
2658     deborah      3       
2659     debra        2       
2660     debri        47      
2661     debt         14      
2662     debut        1       
2663     dec          48      
2664     decad        83      
2665     decay        2       
2666     deceas       8       
2667     deceit       1       
2668     decemb       79      
2669     decent       2       
2670     decentr      3       
2671     decept       1       
2672     decibel      1       
2673     decid        103     
2674     decidedli    1       
2675     decis        174     
2676     deck         44      
2677     declar       99      
2678     declassifi   1       
2679     declin       48      
2680     decod        2       
2681     decompos     1       
2682     decor        2       
2683     decrat       2       
2684     decre        2       
2685     decri        3       
2686     ded          1       
2687     dedic        9       
2688     dedinj       5       
2689     dee          1       
2690     deed         3       
2691     deem         8       
2692     deep         54      
2693     deepen       5       
2694     deeper       3       
2695     deepest      1       
2696     deepli       23      
2697     defac        1       
2698     default      3       
2699     defeat       143     
2700     defect       2       
2701     defenc       3       
2702     defend       121     
2703     defens       155     
2704     defenselink  3       
2705     defer        2       
2706     defi         6       
2707     defianc      7       
2708     defiant      6       
2709     defiantli    2       
2710     defici       1       
2711     deficit      11      
2712     defin        7       
2713     definit      37      
2714     deflat       1       
2715     deflect      6       
2716     defoli       1       
2717     defolt       1       
2718     deforest     10      
2719     defraud      3       
2720     defunct      2       
2721     defus        3       
2722     degr         1       
2723     degrad       4       
2724     degre        31      
2725     dehuman      1       
2726     dehydr       3       
2727     del          11      
2728     delawar      25      
2729     delay        34      
2730     deleg        10      
2731     delhi        17      
2732     deli         1       
2733     deliber      15      
2734     delic        7       
2735     delici       1       
2736     delight      5       
2737     deliv        36      
2738     deliveri     2       
2739     dell         1       
2740     delsaut      2       
2741     delta        9       
2742     delus        2       
2743     delv         1       
2744     demaci       1       
2745     demagogu     2       
2746     demand       75      
2747     demarc       1       
2748     demean       1       
2749     demeanor     2       
2750     dementieva   5       
2751     demick       1       
2752     demilitar    1       
2753     demis        6       
2754     democraci    83      
2755     democrat     188     
2756     democratich  1       
2757     demograph    1       
2758     demolish     5       
2759     demolit      5       
2760     demon        4       
2761     demonstr     88      
2762     demot        2       
2763     demur        1       
2764     demystifi    1       
2765     dengu        1       
2766     deni         95      
2767     denial       5       
2768     denigr       1       
2769     denis        14      
2770     denisa       3       
2771     denn         1       
2772     denni        8       
2773     denomin      1       
2774     denounc      13      
2775     dens         4       
2776     dent         2       
2777     dental       1       
2778     denver       21      
2779     depart       180     
2780     departur     20      
2781     depend       34      
2782     depict       1       
2783     deplan       1       
2784     deplet       2       
2785     deplor       2       
2786     deploy       22      
2787     deport       3       
2788     deportieren  1       
2789     depos        7       
2790     deposit      4       
2791     depot        4       
2792     depress      3       
2793     depriv       1       
2794     dept         1       
2795     depth        13      
2796     deputi       46      
2797     dequia       2       
2798     derail       1       
2799     derelict     1       
2800     deriv        3       
2801     desai        1       
2802     descend      18      
2803     descent      9       
2804     describ      80      
2805     descript     8       
2806     desegreg     1       
2807     desert       35      
2808     deserv       15      
2809     deservedli   2       
2810     design       38      
2811     designe      1       
2812     desir        16      
2813     desist       3       
2814     desk         6       
2815     desol        1       
2816     despair      6       
2817     desper       39      
2818     despic       12      
2819     despis       3       
2820     despit       116     
2821     despot       1       
2822     destabil     3       
2823     destin       10      
2824     destini      1       
2825     destitut     1       
2826     destroy      227     
2827     destruct     27      
2828     desvid       1       
2829     detach       3       
2830     detail       89      
2831     detain       31      
2832     detaine      2       
2833     detect       14      
2834     detector     1       
2835     detent       10      
2836     deter        15      
2837     deterg       1       
2838     deterior     11      
2839     determin     104     
2840     deterr       2       
2841     detest       1       
2842     deton        30      
2843     detour       4       
2844     detritu      1       
2845     detroit      3       
2846     deuc         12      
2847     deutch       8       
2848     deutsch      1       
2849     devast       58      
2850     devastatingli 1       
2851     develop      97      
2852     deviat       1       
2853     devic        15      
2854     devilish     1       
2855     devis        1       
2856     devot        15      
2857     devour       2       
2858     devoutli     1       
2859     dewat        2       
2860     dewin        2       
2861     dhabi        4       
2862     dhahran      12      
2863     dharan       1       
2864     dhingra      1       
2865     dhrumal      1       
2866     diabak       1       
2867     diagnos      5       
2868     diagnosi     1       
2869     diagnost     1       
2870     diagnostico  1       
2871     diagram      1       
2872     dialect      1       
2873     diallo       2       
2874     dialo        3       
2875     dialogu      8       
2876     diamet       3       
2877     diamond      3       
2878     dian         2       
2879     diann        3       
2880     diari        1       
2881     diarrhea     3       
2882     diaz         2       
2883     dick         36      
2884     dickinson    1       
2885     dictablanda  1       
2886     dictadura    1       
2887     dictat       29      
2888     dictatori    3       
2889     dictatorship 10      
2890     diction      4       
2891     dictionari   1       
2892     dictment     1       
2893     die          192     
2894     diego        5       
2895     dienstbier   2       
2896     diesel       2       
2897     diet         3       
2898     differ       107     
2899     difficult    84      
2900     difficulti   21      
2901     diffus       1       
2902     dig          49      
2903     digest       1       
2904     digger       3       
2905     digit        4       
2906     dignitari    5       
2907     digniti      8       
2908     dilapid      1       
2909     dilemma      4       
2910     dilfer       1       
2911     dilig        1       
2912     dilut        1       
2913     dime         1       
2914     dimens       2       
2915     diminish     5       
2916     diminut      1       
2917     dimitr       1       
2918     dimitri      2       
2919     dimmer       1       
2920     dina         1       
2921     dinar        2       
2922     dine         8       
2923     dinghi       4       
2924     dingi        1       
2925     dinh         2       
2926     dinkic       3       
2927     dinner       10      
2928     dioulo       1       
2929     dip          2       
2930     diplomaci    8       
2931     diplomat     69      
2932     diplospeak   4       
2933     dire         1       
2934     direct       75      
2935     directli     40      
2936     director     102     
2937     directrelief 1       
2938     diring       1       
2939     dirksen      1       
2940     dirt         35      
2941     dirti        11      
2942     dirtiest     1       
2943     disabl       4       
2944     disadvantag  1       
2945     disaffect    1       
2946     disagr       3       
2947     disagre      8       
2948     disappear    24      
2949     disappoint   25      
2950     disapprov    1       
2951     disarm       1       
2952     disarma      1       
2953     disarray     2       
2954     disassembl   1       
2955     disast       76      
2956     disastr      8       
2957     disband      6       
2958     disbar       4       
2959     disbelief    5       
2960     disc         1       
2961     discard      2       
2962     discharg     3       
2963     disciplin    13      
2964     disciplinari 6       
2965     disclos      12      
2966     disclosur    7       
2967     discomfort   4       
2968     discont      2       
2969     discontinu   1       
2970     discord      2       
2971     discothequ   1       
2972     discount     1       
2973     discourag    7       
2974     discov       37      
2975     discoveri    12      
2976     discovi      1       
2977     discredit    10      
2978     discreet     1       
2979     discrep      4       
2980     discret      4       
2981     discrimin    2       
2982     discuss      75      
2983     disdain      4       
2984     diseas       9       
2985     disenfranchis 3       
2986     disgaz       1       
2987     disgrac      12      
2988     disgruntl    5       
2989     disguis      9       
2990     disgust      1       
2991     dish         1       
2992     dishdasha    1       
2993     dishearten   2       
2994     dishonor     2       
2995     disillus     2       
2996     disinfect    5       
2997     disinform    1       
2998     disintegr    10      
2999     dislik       1       
3000     disloc       2       
3001     dislodg      2       
3002     dismal       1       
3003     dismantl     8       
3004     dismay       3       
3005     dismemb      1       
3006     dismiss      32      
3007     disobedi     14      
3008     disord       3       
3009     disori       2       
3010     dispar       4       
3011     disparag     2       
3012     dispatch     31      
3013     dispel       2       
3014     dispens      1       
3015     dispers      13      
3016     displac      2       
3017     display      29      
3018     displeas     1       
3019     displeasur   1       
3020     dispos       12      
3021     disposit     1       
3022     disprov      2       
3023     disput       33      
3024     disqualifi   6       
3025     disquiet     1       
3026     disregard    5       
3027     disreput     1       
3028     disrespect   2       
3029     disrupt      9       
3030     dissect      1       
3031     dissemin     4       
3032     dissent      5       
3033     dissid       6       
3034     dissip       1       
3035     dissolv      12      
3036     dissuas      1       
3037     distanc      16      
3038     distant      7       
3039     distinct     7       
3040     distinctli   1       
3041     distinguish  7       
3042     distort      6       
3043     distract     8       
3044     distraught   13      
3045     distress     4       
3046     distribut    26      
3047     district     38      
3048     distrust     1       
3049     disturb      9       
3050     disun        2       
3051     ditch        5       
3052     dive         21      
3053     diver        67      
3054     divers       8       
3055     diversifi    1       
3056     divert       8       
3057     divid        33      
3058     divis        26      
3059     divorc       3       
3060     divulg       4       
3061     dixon        3       
3062     dixvil       1       
3063     dizzi        2       
3064     djahouri     1       
3065     djibouti     20      
3066     djikal       1       
3067     djila        1       
3068     djindjic     17      
3069     djukanov     3       
3070     djuro        1       
3071     dmitri       12      
3072     dmon         1       
3073     dna          5       
3074     dnevnik      1       
3075     do           2       
3076     doan         1       
3077     dobrica      1       
3078     dochterman   1       
3079     dock         42      
3080     docksid      2       
3081     doctor       52      
3082     doctorswithoutbord 1       
3083     doctrin      1       
3084     document     44      
3085     documentari  1       
3086     dodg         1       
3087     dodgi        3       
3088     doer         1       
3089     dog          32      
3090     dogged       1       
3091     doggedli     1       
3092     doha         1       
3093     dokic        9       
3094     doll         1       
3095     dollar       47      
3096     dolphin      1       
3097     domain       1       
3098     dome         2       
3099     domest       16      
3100     domin        42      
3101     dominican    1       
3102     dominik      16      
3103     dominikov    4       
3104     dominion     2       
3105     dominiqu     1       
3106     domino       3       
3107     don          5       
3108     donald       35      
3109     donaldson    2       
3110     donat        19      
3111     done         109     
3112     dong         1       
3113     donkey       1       
3114     donna        2       
3115     donnel       3       
3116     donor        11      
3117     dooda        1       
3118     doom         9       
3119     door         55      
3120     doorway      2       
3121     dopher       1       
3122     dora         1       
3123     dorcol       1       
3124     doreen       1       
3125     dori         1       
3126     dormitori    1       
3127     dorothi      3       
3128     dose         1       
3129     dostoyevski  1       
3130     dot          3       
3131     doubl        46      
3132     doubt        52      
3133     doudou       1       
3134     doug         1       
3135     dougal       9       
3136     dougherti    2       
3137     dougla       1       
3138     dour         2       
3139     dove         1       
3140     dover        24      
3141     dow          2       
3142     down         5       
3143     downbeat     1       
3144     downfal      19      
3145     downplay     3       
3146     downpour     1       
3147     downstair    2       
3148     downtown     29      
3149     dows         1       
3150     doyal        1       
3151     doze         1       
3152     dozen        114     
3153     dozo         1       
3154     dpko         1       
3155     dpmo         2       
3156     dr           8       
3157     draconian    2       
3158     draft        16      
3159     drag         15      
3160     dragan       6       
3161     dragana      1       
3162     dragesa      1       
3163     dragisha     1       
3164     dragoljub    8       
3165     dragomir     2       
3166     dragon       2       
3167     drain        8       
3168     drama        13      
3169     draman       15      
3170     dramat       33      
3171     drape        18      
3172     draper       2       
3173     draskov      4       
3174     drastic      1       
3175     draw         48      
3176     drawn        17      
3177     dread        1       
3178     dream        20      
3179     dress        24      
3180     dresser      1       
3181     drew         23      
3182     drexel       1       
3183     dri          17      
3184     drift        3       
3185     drill        8       
3186     drink        13      
3187     drip         1       
3188     drissa       3       
3189     drive        65      
3190     driven       17      
3191     driver       24      
3192     driveway     1       
3193     drizzl       1       
3194     drizzli      1       
3195     drop         52      
3196     drought      2       
3197     drove        22      
3198     drown        6       
3199     drub         1       
3200     drudg        1       
3201     drug         41      
3202     drugli       1       
3203     drum         1       
3204     drumbeat     2       
3205     drummer      2       
3206     drunk        3       
3207     drunken      1       
3208     drydock      1       
3209     dtic         2       
3210     du           1       
3211     dual         1       
3212     duan         1       
3213     dub          3       
3214     dubai        5       
3215     dubiou       1       
3216     duboc        1       
3217     duc          7       
3218     duck         4       
3219     duct         6       
3220     dudley       12      
3221     due          38      
3222     duel         3       
3223     duffel       2       
3224     duffi        4       
3225     duffl        1       
3226     dug          22      
3227     duglon       1       
3228     duguid       2       
3229     duke         1       
3230     dull         1       
3231     duluth       1       
3232     duma         1       
3233     dump         12      
3234     duo          1       
3235     duopoli      1       
3236     dupe         1       
3237     duplic       1       
3238     durango      2       
3239     duress       1       
3240     dusan        1       
3241     dusk         2       
3242     dust         13      
3243     dusti        11      
3244     dutch        3       
3245     duti         27      
3246     duval        1       
3247     dwarf        1       
3248     dwell        2       
3249     dweller      3       
3250     dwight       2       
3251     dwindl       11      
3252     dwyer        1       
3253     dy           5       
3254     dye          2       
3255     dygalo       2       
3256     dynam        4       
3257     dynamit      8       
3258     dynasti      1       
3259     dysfunct     1       
3260     eager        18      
3261     eagl         1       
3262     eagleton     1       
3263     eaker        1       
3264     eant         1       
3265     ear          7       
3266     eardrum      2       
3267     earli        181     
3268     earlier      188     
3269     earliest     7       
3270     earmark      8       
3271     earn         23      
3272     earnest      5       
3273     earshot      1       
3274     earth        29      
3275     earthmov     3       
3276     earthquak    111     
3277     eas          27      
3278     easi         34      
3279     easier       12      
3280     easiest      2       
3281     easili       25      
3282     easley       1       
3283     east         128     
3284     eastern      40      
3285     eat          15      
3286     eaten        3       
3287     eavesdrop    1       
3288     eb           3       
3289     ebb          5       
3290     ebri         1       
3291     eccel        1       
3292     echeverria   1       
3293     echo         28      
3294     eclips       2       
3295     ecolog       1       
3296     ecologist    1       
3297     econolin     1       
3298     econom       83      
3299     economi      73      
3300     economist    12      
3301     ecstat       1       
3302     ecuador      10      
3303     ecuadorian   1       
3304     ed           12      
3305     edberg       1       
3306     edg          49      
3307     edgar        1       
3308     edict        1       
3309     edific       1       
3310     edikipa      1       
3311     edinburgh    1       
3312     edit         16      
3313     editor       16      
3314     editori      16      
3315     edmond       32      
3316     edmund       25      
3317     edmundo      1       
3318     edt          13      
3319     eduard       1       
3320     eduardo      1       
3321     educ         40      
3322     edward       6       
3323     edwardo      1       
3324     edwin        2       
3325     ee           3       
3326     eeri         2       
3327     eerili       1       
3328     effect       76      
3329     effici       4       
3330     effort       185     
3331     effortlessli 1       
3332     eg           1       
3333     egg          5       
3334     egoavil      3       
3335     egotist      2       
3336     egregi       1       
3337     egypt        26      
3338     egyptian     31      
3339     ehud         8       
3340     eight        113     
3341     eighteen     1       
3342     eighth       22      
3343     eighti       5       
3344     eisenhow     3       
3345     either       60      
3346     eject        2       
3347     ekra         1       
3348     el           74      
3349     elabor       24      
3350     elana        1       
3351     elast        1       
3352     elat         1       
3353     elayn        1       
3354     elbaum       1       
3355     elbow        7       
3356     elder        6       
3357     elderli      5       
3358     eldest       3       
3359     elect        312     
3360     elector      80      
3361     electr       42      
3362     electrician  3       
3363     electrifi    1       
3364     electrocut   1       
3365     electron     11      
3366     eleg         5       
3367     element      21      
3368     elementari   2       
3369     elena        6       
3370     elev         4       
3371     eleven       12      
3372     elia         4       
3373     eliac        1       
3374     elier        1       
3375     elig         10      
3376     elimin       32      
3377     elit         7       
3378     elizabeth    7       
3379     ellen        5       
3380     elli         2       
3381     elliot       2       
3382     ellips       2       
3383     ellipt       1       
3384     ellwood      1       
3385     eln          1       
3386     elong        1       
3387     els          34      
3388     elsewher     55      
3389     elton        1       
3390     elud         12      
3391     elus         4       
3392     em           2       
3393     eman         1       
3394     emanuel      1       
3395     embargo      31      
3396     embark       4       
3397     embarrass    10      
3398     embassi      118     
3399     embattl      9       
3400     embed        1       
3401     embellish    1       
3402     emblemat     1       
3403     embrac       20      
3404     embroil      1       
3405     emerg        111     
3406     emerson      2       
3407     emigr        7       
3408     emil         5       
3409     emili        2       
3410     emilio       2       
3411     emin         2       
3412     emir         7       
3413     emiss        1       
3414     emissari     1       
3415     emit         1       
3416     emkne        1       
3417     emmanuel     3       
3418     emot         47      
3419     empathet     1       
3420     empathi      1       
3421     emperor      4       
3422     emphas       9       
3423     emphasi      7       
3424     emphat       5       
3425     empir        6       
3426     employ       19      
3427     employe      50      
3428     empow        2       
3429     empt         1       
3430     empti        14      
3431     emul         3       
3432     en           32      
3433     enabl        10      
3434     enact        4       
3435     encircl      1       
3436     enclos       1       
3437     encor        1       
3438     encount      15      
3439     encourag     33      
3440     end          277     
3441     endang       5       
3442     endear       1       
3443     endeavor     3       
3444     endem        1       
3445     endors       12      
3446     endur        18      
3447     enemi        46      
3448     energ        3       
3449     energet      1       
3450     energi       29      
3451     enforc       46      
3452     engag        25      
3453     engend       2       
3454     engin        54      
3455     engineerman  1       
3456     engineman    1       
3457     england      2       
3458     english      18      
3459     engrav       1       
3460     engulf       7       
3461     enhanc       5       
3462     enigmat      1       
3463     enjoin       1       
3464     enjoy        19      
3465     enlarg       4       
3466     enlist       14      
3467     enmesh       1       
3468     enmiti       2       
3469     enorm        27      
3470     enough       136     
3471     enqvist      1       
3472     enrag        2       
3473     enrich       1       
3474     ensembl      2       
3475     ensign       4       
3476     ensnar       2       
3477     ensu         9       
3478     ensul        1       
3479     ensur        34      
3480     entail       1       
3481     entangl      2       
3482     enter        67      
3483     enterpris    4       
3484     entertain    5       
3485     enthusiasm   8       
3486     enthusiast   7       
3487     entic        4       
3488     entir        44      
3489     entireti     1       
3490     entiti       2       
3491     entitl       6       
3492     entomb       4       
3493     entourag     3       
3494     entranc      7       
3495     entrench     2       
3496     entrepreneur 2       
3497     entrepreneuri 2       
3498     entrepreneurship 5       
3499     entri        3       
3500     entrust      2       
3501     envelop      1       
3502     envi         1       
3503     environ      8       
3504     environment  11      
3505     environmentalist 3       
3506     envis        2       
3507     envisag      1       
3508     envoy        7       
3509     epa          1       
3510     epic         2       
3511     epicent      31      
3512     epidem       2       
3513     epiphani     1       
3514     episcop      3       
3515     episod       2       
3516     equal        20      
3517     equanim      1       
3518     equip        89      
3519     equival      12      
3520     er           2       
3521     era          53      
3522     eras         11      
3523     erect        7       
3524     erena        1       
3525     eri          3       
3526     eric         6       
3527     erinson      1       
3528     erlang       1       
3529     ernesto      4       
3530     erni         4       
3531     erod         9       
3532     eros         4       
3533     err          1       
3534     errand       1       
3535     errat        8       
3536     erron        3       
3537     error        47      
3538     erupt        18      
3539     es           5       
3540     esam         1       
3541     escal        9       
3542     escap        85      
3543     escape       28      
3544     escort       10      
3545     escud        3       
3546     especi       74      
3547     espehello    1       
3548     espi         6       
3549     espionag     34      
3550     espitia      1       
3551     espo         1       
3552     espous       1       
3553     essay        3       
3554     essenc       3       
3555     essenti      16      
3556     est          1       
3557     establish    51      
3558     estat        18      
3559     estim        63      
3560     estrada      1       
3561     estrang      1       
3562     et           3       
3563     etar         1       
3564     etat         7       
3565     etcetera     1       
3566     ethan        2       
3567     ethic        7       
3568     ethiopia     1       
3569     ethnic       34      
3570     ethnocentr   2       
3571     etoge        1       
3572     eu           8       
3573     eucom        1       
3574     eugen        4       
3575     eulog        3       
3576     euphor       1       
3577     euphoria     6       
3578     europ        50      
3579     european     52      
3580     evacu        24      
3581     evad         7       
3582     evalu        11      
3583     evan         5       
3584     evanel       1       
3585     evapor       3       
3586     evas         14      
3587     eve          63      
3588     evelyn       2       
3589     even         314     
3590     evenh        1       
3591     evenhand     1       
3592     evenli       5       
3593     event        85      
3594     eventu       45      
3595     ever         109     
3596     everett      1       
3597     everi        92      
3598     eversinc     1       
3599     evert        11      
3600     everybodi    20      
3601     everyday     10      
3602     everyon      57      
3603     everyth      77      
3604     everywher    18      
3605     evi          4       
3606     evict        2       
3607     evid         131     
3608     evidenc      1       
3609     evil         2       
3610     evoc         1       
3611     evok         1       
3612     evolut       3       
3613     ewe          4       
3614     ex           47      
3615     exacerb      1       
3616     exact        8       
3617     exactli      37      
3618     exagger      4       
3619     exalt        1       
3620     exam         4       
3621     examin       49      
3622     exampl       40      
3623     exasper      2       
3624     excav        12      
3625     exceed       5       
3626     exceedingli  1       
3627     excel        5       
3628     except       27      
3629     excerpt      5       
3630     excess       2       
3631     exchang      23      
3632     excit        9       
3633     exclaim      1       
3634     exclam       2       
3635     exclud       20      
3636     exclus       20      
3637     exclusion    2       
3638     exclusionari 1       
3639     excruci      1       
3640     excus        7       
3641     execut       71      
3642     exemplari    1       
3643     exemplifi    1       
3644     exempt       2       
3645     exercis      22      
3646     exhaust      26      
3647     exhibit      3       
3648     exhilar      1       
3649     exhort       2       
3650     exil         43      
3651     exist        21      
3652     exit         25      
3653     exocet       1       
3654     exodu        3       
3655     exoner       1       
3656     expand       18      
3657     expans       5       
3658     expatri      3       
3659     expect       187     
3660     expectantli  1       
3661     expedi       2       
3662     expedit      4       
3663     expel        5       
3664     expenditur   2       
3665     expens       21      
3666     experi       46      
3667     experienc    8       
3668     expert       118     
3669     expertis     8       
3670     expir        9       
3671     explain      35      
3672     explan       13      
3673     explicit     4       
3674     explicitli   6       
3675     explod       43      
3676     exploit      7       
3677     explor       13      
3678     explos       223     
3679     export       22      
3680     expos        8       
3681     express      76      
3682     expuls       1       
3683     exquisit     1       
3684     extend       38      
3685     extens       34      
3686     extent       27      
3687     exterior     3       
3688     extern       14      
3689     extinct      2       
3690     extinguish   2       
3691     extol        2       
3692     extort       4       
3693     extra        21      
3694     extract      6       
3695     extradit     33      
3696     extraordinari 12      
3697     extraordinarili 2       
3698     extravag     2       
3699     extrem       21      
3700     extremist    17      
3701     extric       2       
3702     exuber       1       
3703     exud         1       
3704     exult        1       
3705     eyadema      1       
3706     eyal         1       
3707     eye          67      
3708     eyebal       1       
3709     eyelid       1       
3710     eyesburn     1       
3711     eyewit       10      
3712     eyewitnesss  1       
3713     fa           3       
3714     faa          1       
3715     fabiani      1       
3716     fabric       5       
3717     facad        4       
3718     face         186     
3719     facial       1       
3720     facil        45      
3721     facilit      4       
3722     fact         110     
3723     factbook     4       
3724     faction      13      
3725     facto        2       
3726     factor       23      
3727     factori      20      
3728     factual      1       
3729     fade         24      
3730     fadeyev      1       
3731     fadhli       1       
3732     fagan        1       
3733     fahrenheit   1       
3734     fail         115     
3735     failur       16      
3736     faint        6       
3737     faintli      1       
3738     fair         46      
3739     fairfax      1       
3740     fairleigh    1       
3741     fairli       16      
3742     faisal       1       
3743     faith        9       
3744     faithless    1       
3745     fake         10      
3746     fall         68      
3747     fallen       27      
3748     fallout      1       
3749     faln         1       
3750     fals         30      
3751     falsif       1       
3752     falsifi      5       
3753     falter       4       
3754     fame         6       
3755     famer        1       
3756     famili       213     
3757     familiar     17      
3758     famou        4       
3759     fan          10      
3760     fanci        1       
3761     fanfar       2       
3762     far          181     
3763     faraway      3       
3764     farc         2       
3765     fare         1       
3766     farera       1       
3767     farewel      16      
3768     farid        1       
3769     farina       3       
3770     farinella    1       
3771     farm         9       
3772     farmer       8       
3773     farmington   1       
3774     farrier      1       
3775     farther      2       
3776     farthest     2       
3777     fascin       5       
3778     fascist      3       
3779     fashion      8       
3780     faso         8       
3781     fast         24      
3782     faster       11      
3783     fastest      2       
3784     fat          2       
3785     fatal        8       
3786     fatalist     1       
3787     fate         33      
3788     father       76      
3789     fatherless   1       
3790     fatigu       7       
3791     fatwa        1       
3792     fault        29      
3793     faulti       1       
3794     favor        49      
3795     favorit      14      
3796     faw          1       
3797     fax          14      
3798     fay          1       
3799     fayettevil   1       
3800     fbi          113     
3801     fda          1       
3802     fear         110     
3803     fearless     4       
3804     feasibl      4       
3805     feast        1       
3806     feat         8       
3807     featur       19      
3808     feb          2       
3809     februari     3       
3810     fed          15      
3811     feder        138     
3812     federalist   1       
3813     federico     11      
3814     fee          5       
3815     feed         14      
3816     feel         118     
3817     feet         62      
3818     fehn         2       
3819     feign        1       
3820     feingold     1       
3821     feinstein    3       
3822     felix        9       
3823     fell         66      
3824     fellow       39      
3825     felon        4       
3826     feloni       13      
3827     felt         81      
3828     femal        13      
3829     feminist     1       
3830     fenc         6       
3831     fend         2       
3832     ferdinand    1       
3833     ferment      1       
3834     fernand      5       
3835     fernandez    1       
3836     fernando     5       
3837     feroci       1       
3838     ferraro      1       
3839     ferreira     3       
3840     ferrer       1       
3841     ferrero      12      
3842     ferret       2       
3843     ferri        4       
3844     fertil       3       
3845     fervor       5       
3846     fest         1       
3847     festiv       8       
3848     fetch        1       
3849     fever        6       
3850     feverish     1       
